,monto_transaccion,edad_cliente,dias_activo,num_transacciones,score_credito,score_autoencoder,score_isolation_forest,score_ocsvm,anomaly_score,anomaly_label,razon_explicacion
32,5.742487638195521,7.9099486676421735,5.583448204580082,6.585067158658182,3.3488152818958117,1.0,0.9919321101899714,0.8452718418840861,0.9584942049979761,1,"Anomalía por: 'num_transacciones' (desviación alta: z=139.68), 'monto_transaccion' (desviación alta: z=124.42), 'edad_cliente' (desviación alta: z=64.33)"
40,-0.36763209449059775,0.598112458447143,5.583448204580082,1.680125142068221,3.3488152818958117,0.28049904,0.8232315190185565,0.6241763504544476,0.5563747386825288,1,"Anomalía por: 'dias_activo' (desviación alta: z=45.76), 'num_transacciones' (desviación alta: z=39.19), 'score_credito' (desviación alta: z=6.85)"
53,5.721159168883173,-0.45364764068908126,5.583448204580082,2.177224155797749,-3.965233780116472,0.4553839,0.8558616885277707,0.6037395556056866,0.6326400475579173,1,"Anomalía por: 'monto_transaccion' (desviación alta: z=123.97), 'num_transacciones' (desviación alta: z=49.37), 'dias_activo' (desviación alta: z=45.76)"
63,-0.3675251688326775,0.598112458447143,-0.40137602819196017,1.975603576802556,3.3488152818958117,0.08684062,0.7309539019664292,0.16488061187385616,0.3317902682525947,1,"Anomalía por: 'num_transacciones' (desviación alta: z=45.24), 'score_credito' (desviación alta: z=6.85), 'edad_cliente' (desviación alta: z=5.84)"
80,-0.3675596705135857,0.598112458447143,5.583448204580082,3.59204442564333,-3.965233780116472,0.33033895,0.8636901949284577,0.2157948327451183,0.4883758613616868,1,"Anomalía por: 'num_transacciones' (desviación alta: z=78.36), 'dias_activo' (desviación alta: z=45.76), 'score_credito' (desviación alta: z=8.05)"
87,6.094390903809321,-0.45364764068908126,-0.40137602819196017,4.360288355952601,-3.965233780116472,0.40022686,0.8882194303887196,0.3432114414008561,0.5567704054816577,1,"Anomalía por: 'monto_transaccion' (desviación alta: z=131.83), 'num_transacciones' (desviación alta: z=94.10), 'score_credito' (desviación alta: z=8.05)"
88,5.717700886215281,0.598112458447143,-0.40137602819196017,1.4993618643483926,3.3488152818958117,0.20295359,0.7894225093846204,0.14493882761222324,0.39371402196478783,1,"Anomalía por: 'monto_transaccion' (desviación alta: z=123.90), 'num_transacciones' (desviación alta: z=35.49), 'score_credito' (desviación alta: z=6.85)"
92,-0.3675857280879743,7.9099486676421735,5.583448204580082,5.424010720996207,3.3488152818958117,0.73937315,0.9286505408415175,0.19132017287591688,0.66860700938996,1,"Anomalía por: 'num_transacciones' (desviación alta: z=115.89), 'edad_cliente' (desviación alta: z=64.33), 'dias_activo' (desviación alta: z=45.76)"
107,-0.36766811900660024,-0.45364764068908126,5.583448204580082,3.6650449801071066,-3.965233780116472,0.3325369,0.8351731500214331,0.0998904089472202,0.4502979731063519,1,"Anomalía por: 'num_transacciones' (desviación alta: z=79.85), 'dias_activo' (desviación alta: z=45.76), 'score_credito' (desviación alta: z=8.05)"
132,5.824810644933928,0.598112458447143,5.583448204580082,1.5236953825029849,3.3488152818958117,0.40932065,0.8683845938957803,0.3665529421676215,0.5593011103598504,1,"Anomalía por: 'monto_transaccion' (desviación alta: z=126.16), 'dias_activo' (desviación alta: z=45.76), 'num_transacciones' (desviación alta: z=35.98)"
143,5.665594031564748,-0.45364764068908126,5.583448204580082,2.8446577966094235,3.3488152818958117,0.44351158,0.840476009819396,0.09989041082652113,0.4965438333473602,1,"Anomalía por: 'monto_transaccion' (desviación alta: z=122.81), 'num_transacciones' (desviación alta: z=63.05), 'dias_activo' (desviación alta: z=45.76)"
153,5.473823962413548,0.598112458447143,-0.40137602819196017,3.779760137121613,-3.965233780116472,0.33505207,0.8566256423375339,0.09981823351900657,0.4587943683590976,1,"Anomalía por: 'monto_transaccion' (desviación alta: z=118.77), 'num_transacciones' (desviación alta: z=82.21), 'score_credito' (desviación alta: z=8.05)"
154,-0.3677498020005661,0.598112458447143,-0.40137602819196017,4.71833869451303,3.3488152818958117,0.18679339,0.7649840297897885,0.14161986497207316,0.3778667344241516,1,"Anomalía por: 'num_transacciones' (desviación alta: z=101.43), 'score_credito' (desviación alta: z=6.85), 'edad_cliente' (desviación alta: z=5.84)"
183,-0.3676408879702205,-0.45364764068908126,5.583448204580082,2.573512880029681,3.3488152818958117,0.3006222,0.7889972703957409,0.46478393209116864,0.512593904173352,1,"Anomalía por: 'num_transacciones' (desviación alta: z=57.49), 'dias_activo' (desviación alta: z=45.76), 'score_credito' (desviación alta: z=6.85)"
192,-0.36769948011403863,0.598112458447143,-0.40137602819196017,3.6476638957109695,3.3488152818958117,0.13760372,0.7319486003087524,0.07892783443280431,0.3309554569762952,1,"Anomalía por: 'num_transacciones' (desviación alta: z=79.50), 'score_credito' (desviación alta: z=6.85), 'edad_cliente' (desviación alta: z=5.84)"
217,5.748664575842662,7.9099486676421735,5.583448204580082,1.8191738172373197,-3.965233780116472,0.8053775,0.9633224381571127,0.9529353479149598,0.8975476956018262,1,"Anomalía por: 'monto_transaccion' (desviación alta: z=124.55), 'edad_cliente' (desviación alta: z=64.33), 'dias_activo' (desviación alta: z=45.76)"
221,-0.3676818609410491,7.9099486676421735,5.583448204580082,4.377669440348738,-3.965233780116472,0.7079395,0.9462502120575197,0.9998819997532039,0.8643338704288034,1,"Anomalía por: 'num_transacciones' (desviación alta: z=94.45), 'edad_cliente' (desviación alta: z=64.33), 'dias_activo' (desviación alta: z=45.76)"
222,5.696008065287195,-0.45364764068908126,-0.40137602819196017,1.7392208290150881,3.3488152818958117,0.20063725,0.8057399507482734,0.09971643682928068,0.38719299689503905,1,"Anomalía por: 'monto_transaccion' (desviación alta: z=123.45), 'num_transacciones' (desviación alta: z=40.40), 'score_credito' (desviación alta: z=6.85)"
266,5.667760642108169,0.598112458447143,-0.40137602819196017,5.799442143952774,3.3488152818958117,0.42363384,0.8734273034224723,0.5180262005093449,0.6046596527300401,1,"Anomalía por: 'num_transacciones' (desviación alta: z=123.58), 'monto_transaccion' (desviación alta: z=122.85), 'score_credito' (desviación alta: z=6.85)"
282,5.779099307166523,-0.45364764068908126,5.583448204580082,2.1355095532470196,3.3488152818958117,0.4224366,0.8350513084602021,0.12993030342426437,0.4937251718023663,1,"Anomalía por: 'monto_transaccion' (desviación alta: z=125.19), 'num_transacciones' (desviación alta: z=48.52), 'dias_activo' (desviación alta: z=45.76)"
334,5.753426657477993,-0.45364764068908126,5.583448204580082,4.057857487459811,3.3488152818958117,0.5028443,0.8450262177816655,0.4191650847456065,0.6016881540473671,1,"Anomalía por: 'monto_transaccion' (desviación alta: z=124.65), 'num_transacciones' (desviación alta: z=87.90), 'dias_activo' (desviación alta: z=45.76)"
351,-0.3675743252043489,0.598112458447143,-0.40137602819196017,2.2397960596238438,-3.965233780116472,0.11717406,0.7466048666496758,0.5381662170569079,0.4427228819977128,1,"Anomalía por: 'num_transacciones' (desviación alta: z=50.65), 'score_credito' (desviación alta: z=8.05), 'edad_cliente' (desviación alta: z=5.84)"
379,-0.36760161187604623,7.9099486676421735,-0.40137602819196017,2.841181579730196,-3.965233780116472,0.47710323,0.9018266585370881,1.0,0.7564806327636384,1,"Anomalía por: 'edad_cliente' (desviación alta: z=64.33), 'num_transacciones' (desviación alta: z=62.98), 'score_credito' (desviación alta: z=8.05)"
381,5.838440052112628,0.598112458447143,-0.40137602819196017,3.0358497249669347,-3.965233780116472,0.33020473,0.8537607159805062,0.09977738162427868,0.45584249206591243,1,"Anomalía por: 'monto_transaccion' (desviación alta: z=126.44), 'num_transacciones' (desviación alta: z=66.96), 'score_credito' (desviación alta: z=8.05)"
415,5.557544904016604,0.598112458447143,-0.40137602819196017,4.992959827972,3.3488152818958117,0.36288863,0.84471313878731,0.3663924158473862,0.5324031621798153,1,"Anomalía por: 'monto_transaccion' (desviación alta: z=120.53), 'num_transacciones' (desviación alta: z=107.06), 'score_credito' (desviación alta: z=6.85)"
449,6.089913733384367,7.9099486676421735,5.583448204580082,4.22471589766273,3.3488152818958117,0.8811198,0.969774550467514,0.6413418078299372,0.8522044716192526,1,"Anomalía por: 'monto_transaccion' (desviación alta: z=131.74), 'num_transacciones' (desviación alta: z=91.32), 'edad_cliente' (desviación alta: z=64.33)"
459,-0.3676417492319696,-0.45364764068908126,-0.40137602819196017,5.590869131199126,-3.965233780116472,0.26049834,0.810645465816908,0.8727554026928758,0.6061141061387746,1,"Anomalía por: 'num_transacciones' (desviación alta: z=119.31), 'score_credito' (desviación alta: z=8.05), 'monto_transaccion' (desviación alta: z=4.21)"
465,-0.3676751226185878,-0.45364764068908126,5.583448204580082,4.700957610116893,-3.965233780116472,0.38012937,0.8558648069381904,0.22527872541514773,0.507924110627399,1,"Anomalía por: 'num_transacciones' (desviación alta: z=101.08), 'dias_activo' (desviación alta: z=45.76), 'score_credito' (desviación alta: z=8.05)"
475,-0.36749251760317425,0.598112458447143,-0.40137602819196017,2.875943748522471,3.3488152818958117,0.11001374,0.7309964898370714,0.09981794845920057,0.32480875312254676,1,"Anomalía por: 'num_transacciones' (desviación alta: z=63.69), 'score_credito' (desviación alta: z=6.85), 'edad_cliente' (desviación alta: z=5.84)"
522,-0.36778088240790974,-0.45364764068908126,5.583448204580082,4.892149538474404,3.3488152818958117,0.37232363,0.8366063085622635,0.2214130148388022,0.49709492354330764,1,"Anomalía por: 'num_transacciones' (desviación alta: z=105.00), 'dias_activo' (desviación alta: z=45.76), 'score_credito' (desviación alta: z=6.85)"
534,-0.3676838068907216,7.9099486676421735,-0.40137602819196017,3.4529957504742312,3.3488152818958117,0.4732517,0.8848245755992401,0.9997181822205352,0.7489188331358547,1,"Anomalía por: 'num_transacciones' (desviación alta: z=75.51), 'edad_cliente' (desviación alta: z=64.33), 'score_credito' (desviación alta: z=6.85)"
543,5.826495934174577,-0.45364764068908126,5.583448204580082,5.580440480561443,-3.965233780116472,0.61925226,0.904115686083358,0.5052268526642533,0.6904481180358011,1,"Anomalía por: 'monto_transaccion' (desviación alta: z=126.19), 'num_transacciones' (desviación alta: z=119.10), 'dias_activo' (desviación alta: z=45.76)"
548,6.018195723595221,7.9099486676421735,-0.40137602819196017,2.1042236013339726,-3.965233780116472,0.6591136,0.9709984594646887,0.9875965655396505,0.8503940425375958,1,"Anomalía por: 'monto_transaccion' (desviación alta: z=130.23), 'edad_cliente' (desviación alta: z=64.33), 'num_transacciones' (desviación alta: z=47.88)"
