id,monto_transaccion,edad_cliente,dias_activo,num_transacciones,score_credito,categoria,region,es_anomalia_real
0,511.9372967618886,69.0,218.0,26.0,474.5965207354073,Servicios,Oriente,0
1,532.4411887138072,55.0,316.0,21.0,485.6190953859765,Servicios,Norte,0
2,552.1308372255029,35.0,292.0,49.0,712.7750972905349,Servicios,Oriente,0
3,447.75110324672454,48.0,278.0,7.0,597.5405230054149,Servicios,Sur,0
4,578.0711345389641,68.0,339.0,40.0,543.3220545012639,Tecnología,Oriente,0
5,458.1529913301875,67.0,171.0,8.0,552.0236177879567,Retail,Sur,0
6,389.4979522629047,50.0,2.0,14.0,701.8059282449349,Salud,Oriente,0
7,471.41915072304016,38.0,229.0,41.0,600.3585103481071,Retail,Centro,0
8,410.4682092016984,61.0,124.0,16.0,850.0,Salud,Centro,0
9,732.467739491542,50.0,117.0,26.0,693.2904670574433,Retail,Centro,0
10,382.8849420662114,22.0,147.0,42.0,547.6402563268882,Salud,Sur,0
11,460.22141934832945,25.0,346.0,38.0,568.5347574110993,Salud,Sur,0
12,390.7310139294262,35.0,273.0,39.0,567.4374203870738,Servicios,Sur,0
13,267.5794351255778,56.0,88.0,10.0,588.3015867012289,Tecnología,Oriente,0
14,459.90518711590255,58.0,351.0,43.0,663.8405711721781,Retail,Norte,0
15,566.7840131301516,58.0,185.0,22.0,580.7725734318533,Servicios,Sur,0
16,676.5790367591788,21.0,213.0,47.0,800.8951326844865,Salud,Norte,0
17,444.51778488025195,47.0,346.0,11.0,742.715966590152,Retail,Norte,0
18,546.0052535818965,32.0,127.0,42.0,630.5904762079781,Salud,Centro,0
19,530.9874587987234,42.0,329.0,48.0,714.3904452689903,Servicios,Norte,0
20,707.2820256997022,61.0,49.0,4.0,679.0407398171614,Salud,Norte,0
21,544.202793524079,43.0,187.0,28.0,656.772902458621,Retail,Norte,0
22,755.5096534433958,35.0,26.0,1.0,672.1831624968678,Servicios,Norte,0
23,481.4593184900119,55.0,211.0,21.0,698.3833266040455,Tecnología,Oriente,0
24,611.3956389882181,26.0,95.0,20.0,463.83201624437515,Retail,Norte,0
25,477.20913907732916,26.0,64.0,27.0,595.352655873186,Retail,Oriente,0
26,725.2213533538004,39.0,206.0,47.0,753.3349172526938,Salud,Sur,0
27,554.2800740771767,29.0,312.0,33.0,694.4192059423539,Servicios,Oriente,0
28,603.6593616437826,25.0,133.0,21.0,832.1944358844878,Salud,Sur,0
